geneA	geneB	p-Value	Log Odds Ratio	Association
CDK2	E2F7	0.004711591361143689	4.00369019395397	Tendency towards co-occurrence(Significant)
CDK2	E2F8	0.8507641267593559	-Infinity	Tendency towards mutual exclusivity
CDK2	SRC	0.938373564817382	-Infinity	Tendency towards mutual exclusivity
CDK2	JAK1	0.11100452820605736	2.617395832834079	Tendency towards co-occurrence
CDK2	JAK2	0.8320665214116909	-Infinity	Tendency towards mutual exclusivity
CDK2	STAT1	0.04137428681715368	3.846595200105691	Tendency towards co-occurrence(Significant)
CDK2	STAT2	0.001517096510678187	4.71492104994721	Tendency towards co-occurrence(Significant)
CDK2	STAT3	0.8987289988571495	-Infinity	Tendency towards mutual exclusivity
CDK2	STAT5A	0.9586257131824244	-Infinity	Tendency towards mutual exclusivity
CDK2	STAT5B	0.938373564817382	-Infinity	Tendency towards mutual exclusivity
CDC25A	CCND1	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CDC25A	CDK4	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CDC25A	CDK6	0.16355538530163596	2.02595285672885	Tendency towards co-occurrence
CDC25A	CCND2	0.27660789335835606	1.3180452605857838	Tendency towards co-occurrence
CDC25A	CDKN2A	0.30187109682159813	-0.5932323987344077	Tendency towards mutual exclusivity
CDC25A	CDKN2B	0.6195976968556741	0.001719690879526679	Tendency towards co-occurrence
CDC25A	MYC	0.03308891704828681	1.7612227453679732	Tendency towards co-occurrence(Significant)
CDC25A	CDKN1A	0.5176552748124993	-Infinity	Tendency towards mutual exclusivity
CDC25A	CDKN1B	0.8987289988567408	-Infinity	Tendency towards mutual exclusivity
CDC25A	E2F1	0.3026291921585113	1.1965378258384178	Tendency towards co-occurrence
CDC25A	E2F2	0.6973708078419268	-Infinity	Tendency towards mutual exclusivity
CDC25A	E2F3	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CDC25A	E2F4	0.13291638842631545	2.3172912403837413	Tendency towards co-occurrence
CDC25A	E2F5	0.3757177446409116	0.8975985988620026	Tendency towards co-occurrence
CDC25A	E2F6	0.9314100533615968	-Infinity	Tendency towards mutual exclusivity
CDC25A	E2F7	0.05990124263900144	1.8983692042863132	Tendency towards co-occurrence
CDC25A	E2F8	0.42053467080970636	0.7358721252262866	Tendency towards co-occurrence
CDC25A	SRC	0.19321654185129292	1.7991395765256775	Tendency towards co-occurrence
CDC25A	JAK1	0.32780503359687013	1.0874389880699846	Tendency towards co-occurrence
CDC25A	JAK2	0.4624349069257017	0.5947071077466928	Tendency towards co-occurrence
CDC25A	STAT1	0.13291638842631545	2.3172912403837413	Tendency towards co-occurrence
CDC25A	STAT2	0.22192769694559758	1.6131347743154265	Tendency towards co-occurrence
CDC25A	STAT3	0.6973708078419268	-Infinity	Tendency towards mutual exclusivity
CDC25A	STAT5A	0.8670836115737259	-Infinity	Tendency towards mutual exclusivity
CDC25A	STAT5B	0.19321654185129292	1.7991395765256775	Tendency towards co-occurrence
CCND1	CDK4	0.41506799789392534	0.4298565612323235	Tendency towards co-occurrence
CCND1	CDK6	0.6950257288600273	-Infinity	Tendency towards mutual exclusivity
CCND1	CCND2	0.12367967252060737	1.4175469046239952	Tendency towards co-occurrence
CCND1	CDKN2A	0.29954159935624913	-0.37057784910772384	Tendency towards mutual exclusivity
CCND1	CDKN2B	0.5871393180151864	0.001784121793501392	Tendency towards co-occurrence
CCND1	MYC	0.46591518723873127	0.3164314857377668	Tendency towards co-occurrence
CCND1	CDKN1A	0.3623124617864718	0.5556396395557832	Tendency towards co-occurrence
CCND1	CDKN1B	0.19546307351192527	1.9421436662598364	Tendency towards co-occurrence
CCND1	E2F1	0.14823691936984074	1.2801619426834825	Tendency towards co-occurrence
CCND1	E2F2	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CCND1	E2F3	0.41506799789392534	0.4298565612323235	Tendency towards co-occurrence
CCND1	E2F4	0.7478793964537351	-Infinity	Tendency towards mutual exclusivity
CCND1	E2F5	0.6171181639364871	0.1119179162039854	Tendency towards co-occurrence
CCND1	E2F6	0.8652566945247214	-Infinity	Tendency towards mutual exclusivity
CCND1	E2F7	0.587088216009964	0.20284319251475144	Tendency towards co-occurrence
CCND1	E2F8	0.7189693919578461	-0.050106820054178866	Tendency towards mutual exclusivity
CCND1	SRC	0.3542668760239421	1.014467612160556	Tendency towards co-occurrence
CCND1	JAK1	0.4451705171145401	-Infinity	Tendency towards mutual exclusivity
CCND1	JAK2	0.335407220477329	0.6241543090729939	Tendency towards co-occurrence
CCND1	STAT1	0.7478793964537351	-Infinity	Tendency towards mutual exclusivity
